oldcode,hsspend_per_cap68_z1,hsspend_per_cap68_z2,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960,hsspend_per_kid_68,hsspend_per_kid_72
44028,0,0,17124,54.19057,0,193.4611,296.6843,490.1454,0,0,0,407.393,232.2868,639.6799,0,0,44,60.9,15,0,0
37021,6.496314,6.496314,13373,54.21931,6.496314,277.8122,158.3469,436.1592,0,0,0,504.2708,255.2789,759.5497,0,1,37,0,0,382.1361,0
1065,0,0,16529,54.22368,0,164.9812,223.0017,387.9829,0,0,0,300.604,293.695,594.299,0,0,1,0,32.7,0,0
42047,0,0,2671,54.24048,0,200.8347,671.3636,872.1984,0,0,0,413.9132,1204.934,1618.847,0,0,42,0,0,0,0
34069,0,0,10063,54.25182,0,175.4347,243.133,418.5677,0,0,0,342.3133,227.3603,569.6736,0,0,34,0,36.7,0,0
11037,0,0,11861,54.27484,0,161.3406,200.0305,361.3711,0,0,0,387.3196,207.1292,594.4489,0,0,11,36.6,29.5,0,0
18110,1.603992,1.603992,11610,54.3392,1.603992,216.9426,340.0545,556.9971,0,0,0,409.4576,343.9074,753.3651,0,1,18,0,16.6,94.35244,0
34091,12.04766,12.04766,31918,54.37306,12.04766,218.3372,305.9157,524.2529,14.24062,14.24062,14.24062,387.4473,150.0055,551.6934,1,1,34,39.8,43.8,708.6858,837.6833
47090,.9762407,.9762407,6684,54.39098,.9762407,234.0446,200.6663,434.7109,0,0,0,568.9813,224.2395,793.2208,0,1,47,27.2,4.5,57.42592,0
44007,0,0,18559,54.42751,0,185.8692,204.3539,390.2231,0,0,0,418.3162,408.2499,826.5661,0,0,44,33.3,1,0,0
10021,0,0,2900,54.48276,0,188.2343,366.4489,554.6832,0,0,0,448.5328,313.813,762.3458,0,0,10,0,11.4,0,0
18101,1.747573,1.747573,2377,54.48392,1.747573,222.2238,445.6218,667.8456,0,0,0,372.8479,477.4619,850.3098,0,1,18,0,.7,102.7984,0
44210,1.978446,1.978446,20584,54.4879,1.978446,285.0331,165.395,450.428,4.734648,4.734648,4.734648,632.2753,235.5541,872.564,1,1,44,22,25.6,116.3792,278.5087
11114,0,0,7682,54.49401,0,176.617,320.0506,496.6676,0,0,0,423.2108,217.9593,641.17,0,0,11,0,44.8,0,0
47087,3.587262,3.587262,28000,54.50296,3.587262,56.38508,95.93159,152.3167,3.945174,3.945174,3.945174,186.414,262.9845,453.3436,1,1,47,0,1.6,211.0154,232.0691
11143,3.399416,3.399416,8051,54.52171,3.399416,136.991,213.425,350.416,0,0,0,330.1812,232.9737,563.155,0,1,11,0,60.1,199.9657,0
34098,0,0,56573,54.54463,0,148.6945,394.8394,543.5339,0,0,0,343.131,257.264,600.3951,0,0,34,49.8,40.2,0,0
11113,0,0,9529,54.55408,0,186.3894,213.3596,399.749,0,0,0,411.1647,321.9265,733.0912,0,0,11,0,22,0,0
47059,0,0,6357,54.58148,0,216.4003,252.1938,468.5941,0,0,0,453.7442,174.9039,628.6481,0,0,47,0,41.3,0,0
43093,0,0,15975,54.60361,0,168.5229,339.3967,507.9196,0,0,0,385.9978,319.0894,705.0872,0,0,43,29,2.7,0,0
44229,0,0,10675,54.62051,0,254.9328,165.2211,420.1538,0,0,0,524.2039,177.0766,701.2805,0,0,44,0,20.9,0,0
34064,0,0,61025,54.62598,0,99.93725,277.9013,377.8385,4.188965,4.188965,4.188965,281.7083,240.2542,526.1515,1,0,34,28.4,39.7,0,246.4097
47019,0,0,5527,54.63282,0,0,0,0,0,0,0,745.8201,257.0721,1002.892,0,0,47,0,75.5,0,0
11053,0,0,18204,54.64649,0,196.7645,429.3842,626.1487,0,0,0,487.4144,510.7933,998.2077,0,0,11,33.4,33.1,0,0
26034,6.068192,6.068192,9979,54.64905,6.068192,215.5837,238.033,453.6168,0,0,0,437.4353,312.0037,749.4389,0,1,26,0,0,356.9525,0
18048,0,0,52107,54.66656,0,344.711,147.2711,491.9821,3.880118,3.880118,3.880118,635.0843,289.0931,928.0576,1,0,18,24,7.9,0,228.2422
19058,.7216418,.7216418,18260,54.79943,.7216418,85.66624,3155.231,3240.897,.7049114,.7049114,.7049114,163.6233,3175.448,3339.776,1,1,19,25.6,13.2,42.44952,41.46537
11074,0,0,5629,54.85247,0,170.7639,168.164,338.9279,0,0,0,366.709,183.9447,550.6537,0,0,11,0,23,0,0
49004,2.897521,2.897521,15616,54.8876,2.897521,263.2852,1021.054,1284.339,3.044371,3.044371,3.044371,443.1802,1167.049,1613.273,1,1,49,0,.8,170.4424,179.0806
37039,7.658412,7.658412,7653,54.89223,7.658412,335.9609,315.4284,651.3893,0,0,0,848.4199,239.8419,1088.262,0,1,37,0,1.6,450.4948,0
11097,0,0,11252,54.89691,0,175.2327,188.1246,363.3572,0,0,0,392.6382,182.4044,575.0425,0,0,11,0,18.6,0,0
11072,0,0,11834,54.99448,0,190.9818,136.5069,327.4887,0,0,0,413.7248,187.217,600.9418,0,0,11,5.2,54.7,0,0
44089,0,0,18114,55.03259,0,238.3212,264.353,502.6742,0,0,0,484.6528,293.7362,778.389,0,0,44,32.7,18.2,0,0
41008,0,0,38636,55.04887,0,86.57201,290.661,377.233,0,0,0,194.4027,339.526,533.9287,0,0,41,16,49.5,0,0
43051,0,0,6247,55.05042,0,159.8551,232.5218,392.3769,0,0,0,371.7498,186.5819,558.3316,0,0,43,0,1.9,0,0
4042,0,0,16296,55.05943,0,249.1435,254.2742,503.4177,0,0,0,511.4706,281.4122,792.8828,0,0,4,35.7,2,0,0
44147,1.4,1.4,20020,55.06815,1.4,341.0691,507.6237,848.6928,0,0,0,623.6901,265.7105,889.4006,0,1,44,30,28.4,82.35294,0
25076,19.95375,22.20791,78890,55.09047,16.54695,211.8855,473.1389,685.0244,16.3945,16.3945,16.3945,430.9456,528.3875,975.7276,1,1,25,67.3,54.8,1306.348,964.3821
11034,0,0,22696,55.13801,0,184.3438,214.1953,398.5391,0,0,0,394.6136,279.979,674.5926,0,0,11,39.8,27.2,0,0
11129,2.524971,2.524971,24631,55.16456,2.524971,205.911,344.9657,550.8767,0,0,0,472.8242,429.3669,902.1912,0,1,11,54.6,52.8,148.5277,0
25070,0,0,15563,55.21193,0,172.9082,309.995,482.9031,0,0,0,469.1805,299.7224,768.903,0,0,25,17.7,18.2,0,0
47058,0,0,31867,55.21376,0,134.6037,315.9077,450.5114,0,0,0,340.9474,262.3187,603.2662,0,0,47,18.4,46.8,0,0
44128,4.637498,4.637498,15139,55.21794,4.637498,259.1101,314.7697,573.8798,19.58179,19.58179,19.58179,422.8465,383.2425,825.6708,1,1,44,46.6,2.8,272.794,1151.87
4041,0,0,9333,55.24483,0,193.9887,417.4058,611.3945,0,0,0,434.7284,368.5171,803.2455,0,0,4,29.6,31.3,0,0
4043,0,0,25542,55.25238,0,182.8919,409.1043,591.9963,0,0,0,394.6688,431.0023,825.6711,0,0,4,11.7,23.8,0,0
11101,0,0,20194,55.26159,0,191.283,435.1794,626.4623,0,0,0,453.2544,685.1076,1138.362,0,0,11,47.6,51,0,0
41018,4.864295,4.864295,24226,55.27776,4.864295,138.844,205.2544,344.0984,0,0,0,398.3765,397.3705,795.747,0,1,41,14.9,48.8,286.135,0
4045,0,0,6097,55.29992,0,244.6414,250.2114,494.8528,0,13.17429,13.17429,600.1257,268.8914,882.1914,1,0,4,0,0,0,774.958
43039,0,0,15982,55.30023,0,190.1614,287.0233,477.1847,0,0,0,406.0558,286.187,692.2428,0,0,43,24.5,10.6,0,0
34015,0,0,5722,55.31245,0,104.3774,188.212,292.5894,0,0,0,316.2057,366.5707,682.7764,0,0,34,0,42.1,0,0
44228,0,0,7612,55.34774,0,321.7016,296.2743,617.9759,0,0,0,595.1469,379.5595,974.7064,0,0,44,0,26.9,0,0
43087,0,0,8472,55.35672,0,132.0425,116.3724,248.4149,0,0,0,282.8318,214.3596,497.1913,0,0,43,0,0,0,0
11010,0,0,12248,55.39621,0,145.9701,245.1514,391.1215,0,0,0,327.2871,220.2934,547.5805,0,0,11,33.8,15.3,0,0
34017,1.310942,1.310942,20079,55.41543,1.310942,91.26949,256.4818,347.7513,1.698767,1.698767,1.698767,339.0611,166.7909,507.5508,1,1,34,0,48,77.11423,99.92745
43062,0,0,23387,55.42995,0,176.967,281.1463,458.1133,0,0,0,340.3791,440.8724,781.2515,0,0,43,17.8,3.9,0,0
