oldcode,total_pop_80,pop16_19_80,pop18_24_80,pop25plus_80,pop18plus_80,hsplus_25plus_80,somecollege_25plus_80,collegeplus_25plus_80,hsplus_18plus_80,somecollege_18plus_80,collegeplus_18plus_80,hsplus_18_24_80,somecollege_18_24_80,collegeplus_18_24_80,inschool_16_19_80,pctinschool_16_19_80,pcthsplus_18_24_80,pctsomecollege_18_24_80,pctcollegeplus_18_24_80,pcthsplus_25plus_80,pctsomecollege_25plus_80,pctcollegeplus_25plus_80,povrate60
34012,72504,5725,8079,43464,51543,19989,8978,3840,24861,10581,4165,4872,1603,325,3399,.5937118,.6030449,.1984157,.0402278,.4598978,.2065618,.088349,31.45849
34013,85895,5957,9699,52379,62078,25676,11667,4518,32097,13764,4905,6421,2097,387,3878,.6509988,.662027,.2162079,.039901,.4901965,.2227419,.0862559,27.01078
34014,67746,5146,8057,39579,47636,17560,6879,3040,22140,8171,3264,4580,1292,224,2621,.5093277,.5684498,.1603575,.0278019,.4436696,.1738043,.0768084,35.59875
34015,5829,451,728,3391,4119,1513,581,167,2078,776,198,565,195,31,308,.6829268,.7760989,.2678571,.0425824,.4461811,.1713359,.049248,55.31245
34016,41092,2940,5309,24898,30207,14210,6829,3009,18066,7902,3240,3856,1073,231,1795,.6105442,.7263138,.2021096,.043511,.5707286,.2742791,.1208531,36.95235
34017,20705,1710,2531,12002,14533,4922,1683,617,6380,2045,708,1458,362,91,1278,.7473684,.5760569,.1430265,.0359542,.4100983,.1402266,.0514081,55.41543
34018,105208,7215,12552,62457,75009,32363,15392,7085,40993,18454,7625,8630,3062,540,4666,.6467083,.6875398,.2439452,.043021,.5181645,.2464416,.113438,24.6305
34019,33415,2125,3676,20824,24500,10730,5049,2699,13289,6083,2990,2559,1034,291,1401,.6592941,.6961371,.281284,.0791621,.5152708,.2424606,.1296101,40.92824
34020,18933,1207,1809,11803,13612,5148,1755,732,6417,2080,784,1269,325,52,794,.6578293,.7014925,.1796573,.0287452,.4361603,.148691,.0620181,58.66975
34021,12558,888,1353,7595,8948,3426,1491,596,4321,1807,641,895,316,45,732,.8243243,.661493,.2335551,.0332594,.4510863,.1963134,.0784727,57.32204
34022,6619,391,615,4296,4911,1994,872,422,2402,946,438,408,74,16,256,.6547315,.6634147,.1203252,.0260163,.4641527,.2029795,.0982309,68.26849
34023,83435,6345,9870,48742,58612,23107,10508,4461,29647,12673,4809,6540,2165,348,4090,.6446021,.662614,.2193516,.0352584,.4740675,.2155841,.0915227,39.73095
34024,51037,3910,5874,29446,35320,13002,5771,2372,16723,6923,2551,3721,1152,179,2906,.7432225,.6334695,.1961185,.0304733,.441554,.1959859,.0805542,57.42373
34025,71043,6129,13593,36436,50029,22183,10064,4255,32228,12079,4663,10045,2015,408,3041,.4961658,.7389833,.1482381,.0300154,.608821,.2762103,.1167801,44.46166
