oldcode,_type_,_freq_,ed_25plus_hsormore70,ed_25plus_collegeormore70,ed_18_24_hsormore70,ed_18_24_collegeormore70,total_pop25_plus70,total_pop18_24_70,total_pop70,povrate60
44184,0,1,.4761826,.0704094,.7156882,.0422148,18222,5093,32978,28.93973
44185,0,1,.4615236,.0688322,.3625304,.0498783,5172,822,10243,25.35267
44186,0,1,.4172865,.0776555,.3758224,.0452303,6722,1216,13095,29.55596
44187,0,1,.2810136,.045995,.4587009,.0328789,8327,1247,14138,55.85077
44188,0,1,.5074663,.0835416,.6142587,.0309726,49221,10590,88485,18.05331
44189,0,1,.28599,.0733308,.2890995,.0236967,2591,422,4674,52.88383
44190,0,1,.2680834,.046179,.6094421,.0858369,2447,233,3581,53.03127
44191,0,1,.7472724,.1967568,.7799322,.0522034,26764,7375,53240,8.414063
44192,0,1,.4815029,.050289,.3269231,.0769231,1730,260,3163,18.70757
44193,0,1,.2711267,.0554577,.4329897,.0412371,1136,97,1931,57.10117
44194,0,1,.2567177,.0343105,.4908389,.021215,9006,1037,14003,57.46837
44195,0,1,.3759033,.0545263,.3285979,.0382952,7611,1619,16278,38.12636
44196,0,1,.348602,.0448146,.468639,.0366864,5043,845,8890,41.3426
44197,0,1,.4334975,.0706076,.8461539,0,609,39,950,18.66197
44198,0,1,.2924731,.0544803,.3596014,.0108696,8370,1104,13876,59.42214
44199,0,1,.4327471,.086698,.5233333,.0233333,4037,600,6856,41.57676
44200,0,1,.2686984,.0560287,.3737113,.0373711,7514,776,11882,37.00165
44201,0,1,.3895191,.0538104,.5740213,.0252669,20628,2810,32233,42.0497
44202,0,1,.2574922,.0601774,.4840871,.0301508,4171,597,7020,57.11794
44203,0,1,.2813345,.0552299,.5022625,.0377074,4436,663,7643,65.57289
44204,0,1,.2224284,.0352598,.46,.024,3772,500,6496,65.79697
44205,0,1,.3840827,.0755471,.3986472,.0244381,22529,4583,45269,52.36835
44206,0,1,.2921845,.0433582,.2651934,.0165746,3621,362,5467,42.58212
44207,0,1,.4906315,.1054823,.3291139,.0548523,1441,237,2388,30.67199
44208,0,1,.4344401,.0742825,.3876899,.0247802,8885,1251,15198,21.14851
44209,0,1,.3658537,.0585366,.3234043,.0680851,2255,235,3212,24.41775
44210,0,1,.296309,.0477614,.5471947,.0184818,11704,1515,19136,54.4879
44211,0,1,.5770856,.1066526,.4984894,.0181269,1894,331,3535,13.69706
44212,0,1,.5076562,.10076,.6455671,.0360423,53682,10016,94999,32.62888
44213,0,1,.328844,.0465769,.5485232,.0421941,1782,237,2686,45.80897
44214,0,1,.218567,.05919,.3333333,.0182421,8025,1809,16922,80.71004
44215,0,1,.3522498,.0451791,.4195804,.0384615,5445,572,8127,25.05256
44216,0,1,.4370629,.1153846,.4198473,.0458015,572,131,1003,23.83178
44217,0,1,.3727621,.0652174,.484472,.0062112,1564,161,2376,28.92071
44218,0,1,.4301323,.1023577,.4117647,.0449827,1739,289,3167,33.01047
44219,0,1,.3934129,.0821571,.4371396,.0346021,5526,867,10152,27.31783
44220,0,1,.5261666,.1181607,.6348292,.0602371,374600,86973,699807,19.88344
44221,0,1,.5634175,.1208067,.7173234,.0502359,49931,15049,94792,20.43288
44222,0,1,.3967803,.0643939,.1632653,.0816327,1056,147,1821,42.70872
44223,0,1,.4419283,.0725201,.3796148,.0288925,7198,1246,13812,28.63639
44224,0,1,.5016181,.0776699,.2111111,.0888889,1545,90,2153,22.18638
44225,0,1,.371641,.0637581,.5315315,.0195195,10085,1332,16182,37.14758
44226,0,1,.4858975,.1007663,.6759931,.0620852,37582,9793,69153,30.13602
44227,0,1,.6092318,.195377,.7147625,.1094023,141337,59624,285725,29.30917
44228,0,1,.2750054,.0557356,.5640569,.0088968,4629,562,7420,55.34774
